"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",52.6,0
"Cold stable",52.7,0
"Cold stable",52.8,0
"Cold stable",52.9,0
"Cold stable",53,0
"Cold stable",53.1,0
"Cold stable",53.2,0
"Cold stable",53.3,0
"Cold stable",53.4,0
"Cold stable",53.5,0
"Cold stable",53.6,0
"Cold stable",53.7,0
"Cold stable",53.8,0
"Cold stable",53.9,0
"Cold stable",54,0
"Cold stable",54.1,0
"Cold stable",54.2,0
"Cold stable",54.3,0
"Cold stable",54.4,0
"Cold stable",54.5,0
"Cold stable",54.6,0
"Cold stable",54.7,0
"Cold stable",54.8,0
"Cold stable",54.9,0
"Cold stable",55,0
"Cold stable",55.1,0
"Cold stable",55.2,0
"Cold stable",55.3,0
"Cold stable",55.4,0
"Cold stable",55.5,0
"Cold stable",55.6,0
"Cold stable",55.7,0
"Cold stable",55.8,0
"Cold stable",55.9,0
"Cold stable",56,0
"Cold stable",56.1,0
"Cold stable",56.2,0
"Cold stable",56.3,0
"Cold stable",56.4,0
"Cold stable",56.5,0
"Cold stable",56.6,0
"Cold stable",56.7,0
"Cold stable",56.8,0
"Cold stable",56.9,0
"Cold stable",57,0
"Cold stable",57.1,0
"Cold stable",57.2,0
"Cold stable",57.3,0
"Cold stable",57.4,0
"Cold stable",57.5,0
"Cold stable",57.6,0
"Cold stable",57.7,0
"Cold stable",57.8,0
"Cold stable",57.9,0
"Cold stable",58,0
"Cold stable",58.1,0
"Cold stable",58.2,0
"Cold stable",58.3,0
"Cold stable",58.4,0
"Cold stable",58.5,0
"Cold stable",58.6,0
"Cold stable",58.7,0
"Cold stable",58.8,0
"Cold stable",58.9,0
"Cold stable",59,0
"Cold stable",59.1,0
"Cold stable",59.2,0
"Cold stable",59.3,0
"Cold stable",59.4,0
"Cold stable",59.5,0
"Cold stable",59.6,0
"Cold stable",59.7,0
"Cold stable",59.8,0
"Cold stable",59.9,0
"Cold stable",60,0
"Cold stable",60.1,0
"Cold stable",60.2,0
"Cold stable",60.3,0
"Cold stable",60.4,0
"Cold stable",60.5,0
"Cold stable",60.6,0
"Cold stable",60.7,0
"Cold stable",60.8,0
"Cold stable",60.9,0
"Cold stable",61,0
"Cold stable",61.1,0
"Cold stable",61.2,0
"Cold stable",61.3,0
"Cold stable",61.4,0
"Cold stable",61.5,0
"Cold stable",61.6,0
"Cold stable",61.7,0
"Cold stable",61.8,0
"Cold stable",61.9,0
"Cold stable",62,0
"Cold stable",62.1,0
"Cold stable",62.2,0
"Cold stable",62.3,0
"Cold stable",62.4,0
"Cold stable",62.5,0
"Cold variable",-5,0
"Cold variable",-4.9,0.00164549350852715
"Cold variable",-4.8,0.00547885946258161
"Cold variable",-4.7,0.00927849552696938
"Cold variable",-4.6,0.0130438499458765
"Cold variable",-4.5,0.016774370963489
"Cold variable",-4.4,0.0204695068239927
"Cold variable",-4.3,0.0241287057715739
"Cold variable",-4.2,0.0277514160504183
"Cold variable",-4.1,0.0313370859047121
"Cold variable",-4,0.0348851635786413
"Cold variable",-3.9,0.0383950973163918
"Cold variable",-3.8,0.0418663353621496
"Cold variable",-3.7,0.0452983259601007
"Cold variable",-3.6,0.0486905173544312
"Cold variable",-3.5,0.052042357789327
"Cold variable",-3.4,0.0553532955089742
"Cold variable",-3.3,0.0586227787575587
"Cold variable",-3.2,0.0618502557792665
"Cold variable",-3.1,0.0650351748182837
"Cold variable",-3,0.0681769841187962
"Cold variable",-2.9,0.0712751319249901
"Cold variable",-2.8,0.0743290664810513
"Cold variable",-2.7,0.0773382360311658
"Cold variable",-2.6,0.0803020888195197
"Cold variable",-2.5,0.0832200730902989
"Cold variable",-2.4,0.0860886049519653
"Cold variable",-2.3,0.0889049571948369
"Cold variable",-2.2,0.091669863085884
"Cold variable",-2.1,0.0943840558920767
"Cold variable",-2,0.0970482688803854
"Cold variable",-1.9,0.0996632353177801
